Date,Open,High,Low,Close,Adj Close,Volume
2019.1.15,40050,41100,39850,41100,37822.5,11492756
2019.1.16,41150,41450,40700,41450,38144.59375,8491595
2019.1.17,41700,42100,41450,41950,38604.72266,11736903
2019.1.18,42000,42400,41950,42300,38926.80469,11029256
2019.1.21,42700,42750,41900,42750,39340.92188,11355701
2019.1.22,42750,42850,41850,42150,38788.76953,9964356
2019.1.23,41350,42250,41350,42000,38650.73438,11071079
2019.1.24,43050,43100,42350,43050,39617.00391,14747623
2019.1.25,44300,44750,43750,44750,41181.4375,22789395
2019.1.28,45000,45500,44600,45050,41457.51563,17998914
2019.1.29,45050,45500,44350,45500,41871.62109,16215017
2019.1.30,44800,46400,44800,46400,42699.85547,17505980
2019.1.31,46650,47050,46150,46150,42469.79688,21621145
2019.2.1,46650,46950,46250,46350,42653.84766,13832454
2019.2.7,46800,47100,46200,46200,42515.8125,15872001
2019.2.8,45700,45700,44650,44800,41227.44922,12689196
2019.2.11,44500,45000,44250,45000,41411.5,11125044
2019.2.12,44650,46250,44650,46050,42377.76563,13184367
2019.2.13,46400,46700,46000,46200,42515.8125,11299738
2019.2.14,46600,47500,46150,47500,43712.14063,17259341
2019.2.15,46750,46850,45650,46050,42377.76563,10554643
2019.2.18,46500,46850,45850,46200,42515.8125,8183728
2019.2.19,45850,46150,45450,45950,42285.74219,6741395
2019.2.20,46750,47100,46500,46900,43159.99219,11506720
2019.2.21,46500,47200,46200,46950,43206,8694009
2019.2.22,46500,47150,46450,47150,43390.05078,6895772
2019.2.25,47400,47550,47050,47350,43574.10156,7484716
2019.2.26,47350,47450,46500,46750,43021.94531,7985547
2019.2.27,47000,47250,46750,46750,43021.94531,8045211
2019.2.28,46400,46500,45100,45100,41503.53125,23569321
2019.3.4,46000,46100,44800,44850,41273.46484,12926539
2019.3.5,44600,45100,44150,44250,40721.30469,10612405
2019.3.6,44000,44300,43700,44000,40491.25,10202544
2019.3.7,43400,44950,43400,44450,40905.35938,11049749
2019.3.8,44450,44800,43800,43800,40307.19922,7729069
2019.3.11,44400,44450,43650,43650,40169.15234,10717408
2019.3.12,44300,44950,44150,44650,41089.40625,11431977
2019.3.13,44250,44450,43700,43850,40353.21094,8108343
2019.3.14,43700,44300,43550,43850,40353.21094,18039161
2019.3.15,43800,44250,43700,44200,40675.29688,16814163
2019.3.18,43950,44150,43450,43700,40215.16797,8188876
2019.3.19,43750,43900,43550,43900,40399.21875,7609563
2019.3.20,43800,44200,43100,44050,40537.26172,9846242
2019.3.21,44600,46250,44050,45850,42193.71484,21138016
2019.3.22,46850,47000,46250,46550,42837.89844,12535911
2019.3.25,45300,45650,44800,45500,41871.62109,8699728
2019.3.26,45500,45700,44900,45250,41641.55859,9729811
2019.3.27,44750,45600,44250,45350,41733.58594,9568081
2019.3.28,44950,45200,44300,44850,41598.17969,6821306
2019.3.29,44500,44900,44200,44650,41412.67969,11491713
2019.4.1,45200,45450,44850,45050,41783.66797,7362129
2019.4.2,45550,46100,45350,45750,42432.91797,9480688
